file                                                             format  type     num_seqs    sum_len  min_len  avg_len  max_len
GCA_000151485.1_ASM15148v1_genomic.fa                            FASTA   Protein     6,046  2,860,693       17    473.2    4,903
GCA_000181435.1_ASM18143v1_genomic.fa                            FASTA   Protein     5,863  2,765,302       18    471.7    4,910
GCA_000182175.1_ASM18217v1_genomic.fa                            FASTA   Protein     2,036    945,931       20    464.6    3,947
GCA_000192375.1_Saccharomyces_cerevisiae_Y10-2.0_genomic.fa      FASTA   Protein     3,899  1,380,440       17      354    2,300
GCA_000192455.1_Saccharomyces_cerevisiae_CBS7960-2.0_genomic.fa  FASTA   Protein     5,623  2,397,391       17    426.4    3,744
GCA_000192495.1_Saccharomyces_cerevisiae_CLIB324-2.0_genomic.fa  FASTA   Protein     4,667  1,770,089       17    379.3    2,674
GCA_000192515.1_Saccharomyces_cerevisiae_YJM269-2.0_genomic.fa   FASTA   Protein     5,702  2,439,689       16    427.9    3,744
GCA_000209265.1_Saccharomyces_cerevisiae_PW5-1.0_genomic.fa      FASTA   Protein     5,498  2,626,095       17    477.6    4,910
GCA_000209285.1_Saccharomyces_cerevisiae_UC5-1.0_genomic.fa      FASTA   Protein     5,516  2,610,759       16    473.3    4,092
GCA_000209305.1_Saccharomyces_cerevisiae_T73-1.0_genomic.fa      FASTA   Protein     4,198  1,821,058       17    433.8    4,711
GCA_000209345.1_Saccharomyces_cerevisiae_CLIB382-1.0_genomic.fa  FASTA   Protein       432    124,029       17    287.1    1,287
GCA_000209365.1_Saccharomyces_cerevisiae_T7-1.0_genomic.fa       FASTA   Protein     5,870  2,770,446       17      472    4,910
GCA_000234495.1_EC9-8_1.0_genomic.fa                             FASTA   Protein     5,316  2,369,311       16    445.7    4,736
GCA_000260735.1_K7_1.0_genomic.fa                                FASTA   Protein     6,004  2,840,506       17    473.1    4,711
GCA_000365105.1_Saccharomyces_cerevisiae_M3838_v1.0_genomic.fa   FASTA   Protein     3,836  1,823,252       16    475.3    4,903
GCA_000365125.1_Saccharomyces_cerevisiae_M3839_v1.0_genomic.fa   FASTA   Protein     5,816  2,760,520       16    474.6    4,903
GCA_000416405.1_S._cerevisiae_NY1308_genomic.fa                  FASTA   Protein     5,821  2,762,904       18    474.6    4,903
GCA_000568365.1_R103_genomic.fa                                  FASTA   Protein     5,633  2,624,004       17    465.8    4,910
GCA_000662435.2_Sc_YJM993_v1_genomic.fa                          FASTA   Protein     5,937  2,789,437       31    469.8    4,910
GCA_000723645.1_ZhangWP_SECN85_genomic.fa                        FASTA   Protein     5,845  2,694,791       17      461    3,971
GCA_000733235.3_ASM73323v3_genomic.fa                            FASTA   Protein     5,693  2,720,038       17    477.8    4,910
GCA_000756235.1_ASM75623v1_genomic.fa                            FASTA   Protein       227    124,411       32    548.1    2,420
GCA_000766305.2_ASM76630v2_genomic.fa                            FASTA   Protein     5,175  2,480,821       18    479.4    4,910
GCA_000766315.2_ASM76631v2_genomic.fa                            FASTA   Protein     5,318  2,560,104       18    481.4    4,910
GCA_000766375.2_ASM76637v2_genomic.fa                            FASTA   Protein     5,743  2,739,898       16    477.1    4,910
GCA_000766395.2_ASM76639v2_genomic.fa                            FASTA   Protein     5,666  2,730,176       16    481.9    4,910
GCA_000766615.2_ASM76661v2_genomic.fa                            FASTA   Protein     5,318  2,538,431       18    477.3    4,910
GCA_000766635.2_ASM76663v2_genomic.fa                            FASTA   Protein     5,625  2,709,227       17    481.6    4,910
GCA_000767965.1_ASM76796v1_genomic.fa                            FASTA   Protein     5,556  2,648,083       18    476.6    4,903
GCA_000768095.1_ASM76809v1_genomic.fa                            FASTA   Protein     3,674  1,867,216       16    508.2    4,908
GCA_000773925.1_ASM77392v1_genomic.fa                            FASTA   Protein     6,346  2,968,319       17    467.7    4,910
GCA_000775555.1_ASM77555v1_genomic.fa                            FASTA   Protein     5,605  2,681,367       16    478.4    4,910
GCA_000975585.2_Sc_YJM195_v1_genomic.fa                          FASTA   Protein     5,944  2,784,896       31    468.5    4,910
GCA_000975615.2_Sc_YJM244_v1_genomic.fa                          FASTA   Protein     5,833  2,749,876       31    471.4    4,910
GCA_000975645.3_Sc_YJM1078_v1_genomic.fa                         FASTA   Protein     5,939  2,779,656       31      468    4,910
GCA_000975675.2_Sc_YJM1083_v1_genomic.fa                         FASTA   Protein     5,919  2,785,392       31    470.6    4,910
GCA_000975705.2_Sc_YJM1129_v1_genomic.fa                         FASTA   Protein     5,962  2,790,912       31    468.1    4,910
GCA_000975735.4_Sc_YJM189_v1_genomic.fa                          FASTA   Protein     5,936  2,792,067       31    470.4    4,910
GCA_000975765.2_Sc_YJM193_v1_genomic.fa                          FASTA   Protein     5,925  2,778,235       31    468.9    4,903
GCA_000975795.2_Sc_YJM248_v1_genomic.fa                          FASTA   Protein     5,928  2,789,242       31    470.5    4,910
GCA_000975825.2_Sc_YJM270_v1_genomic.fa                          FASTA   Protein     5,911  2,768,811       31    468.4    4,910
GCA_000975855.3_Sc_YJM271_v1_genomic.fa                          FASTA   Protein     5,864  2,747,732       31    468.6    4,903
GCA_000975885.2_Sc_YJM320_v1_genomic.fa                          FASTA   Protein     5,974  2,792,809       31    467.5    4,910
GCA_000975915.2_Sc_YJM326_v1_genomic.fa                          FASTA   Protein     5,951  2,787,991       31    468.5    4,910
GCA_000975945.2_Sc_YJM428_v1_genomic.fa                          FASTA   Protein     5,965  2,791,772       31      468    4,910
GCA_000975975.3_Sc_YJM450_v1_genomic.fa                          FASTA   Protein     5,972  2,789,839       31    467.2    4,910
GCA_000976005.2_Sc_YJM451_v1_genomic.fa                          FASTA   Protein     5,867  2,745,554       31      468    4,910
GCA_000976035.2_Sc_YJM453_v1_genomic.fa                          FASTA   Protein     5,952  2,792,186       31    469.1    4,910
GCA_000976065.2_Sc_YJM456_v1_genomic.fa                          FASTA   Protein     5,961  2,801,803       31      470    4,910
